00:00:24 | INFO | GET http://46.229.212.89:7592/get_photo_id?name=2bc9cf50e3d9217d6cb6a9d33aa65f3feab1d7b7bcc3b27e
00:00:24 | INFO | Request Body: name=2bc9cf50e3d9217d6cb6a9d33aa65f3feab1d7b7bcc3b27e
00:00:24 | INFO | Headers:
00:00:24 | INFO | 	host: 46.229.212.89:7592
00:00:24 | INFO | 	accept: */*
00:00:24 | INFO | 	accept-encoding: gzip, deflate
00:00:24 | INFO | 	connection: keep-alive
00:00:24 | INFO | 	user-agent: python-httpx/0.23.1
00:00:24 | INFO | Response Body: {"id":[609323,609324,609325,609326]}
00:00:24 | INFO | GET http://46.229.212.89:7592/next_suggestion?tg_id=5295570234
00:00:24 | INFO | Request Body: tg_id=5295570234
00:00:24 | INFO | Headers:
00:00:24 | INFO | 	host: 46.229.212.89:7592
00:00:24 | INFO | 	accept: */*
00:00:24 | INFO | 	accept-encoding: gzip, deflate
00:00:24 | INFO | 	connection: keep-alive
00:00:24 | INFO | 	user-agent: python-httpx/0.23.1
00:00:24 | INFO | Response Body: {"sug":{"cover":"https://s3.timeweb.com/cr28942-botstorage/9ae319f6b3a065e1eac5d486a0fa9016.jpg","author_edit_id":3,"intellect":0.0,"description":"Размещение в комфортабельной круглогодичной юрте с панорамными окнами и невероятным видом на лес. Продуманный до мелочей дизайн. Терраса с шезлонгами и столиком. Кровати с ортопедическими матрасами, белоснежное постельное белье и полотенца, халаты, собственный санузел внутри юрты, мини-кухня. В стоимость включены: завтрак; парковка; wi-fi в лаунж-зоне; настольные игры, книги в свободном доступе; вечерний костёр на костровой зоне; мангал в общей зоне.\r\n","address":"Пестречинский район, Кощаковское поселение","verif":false,"short_desc":"Получите новые впечатления и отдохните от шумного города вместе с родными. Живописные пейзажи, красивая природа, уникальные юрты и атмосфера уюта.\r\n","advance":false,"deleted_time":null,"title":"Yurt Resort","author_id":null,"skill":0.0,"last_modified_time":"2023-02-07T07:49:53.829445+00:00","active":true,"view_counter":2262,"contact":"https://noboringdate.ru?ref=dZQnL1LHdofmT_77Fqiyag&id=5295570234&session=12072","phys":0.0,"deleted":false,"price":"Будни дни цена за сутки: 8.000 рублей Выходные дни цена за сутки: 12.000 рублей","images":["https://s3.timeweb.com/cr28942-botstorage/b3e5730c886fed1ab4fcb3275eac2952.jpg","https://s3.timeweb.com/cr28942-botstorage/d4e29833c342f74d5cd86a723dab6f41.jpg"],"create_time":"2022-12-01T18:08:40.845391+00:00","id":5,"similar_sug":[],"advance_date_end":null,"filter_param":["Девушка/Парень","Супруга/Супруг","Друг/Подруга","Компанию"],"real_view_counter":930,"advance_date_start":null,"tag":"Просто отдохнуть/Релакс"},"len":16,"index":9}
00:00:27 | INFO | POST http://46.229.212.89:7592/get_photo_name
00:00:27 | INFO | Request Body: {"photo_id": [609329, 609330, 609331]}
00:00:27 | INFO | Headers:
00:00:27 | INFO | 	host: 46.229.212.89:7592
00:00:27 | INFO | 	accept: */*
00:00:27 | INFO | 	accept-encoding: gzip, deflate
00:00:27 | INFO | 	connection: keep-alive
00:00:27 | INFO | 	user-agent: python-httpx/0.23.1
00:00:27 | INFO | 	content-length: 38
00:00:27 | INFO | Response Body: {"name":"869e758763eaa4b8f4f73f18f4d905bafa7a6d8eeaa665b3"}
00:00:30 | INFO | GET http://46.229.212.89:7592/get_photo_id?name=869e758763eaa4b8f4f73f18f4d905bafa7a6d8eeaa665b3
00:00:30 | INFO | Request Body: name=869e758763eaa4b8f4f73f18f4d905bafa7a6d8eeaa665b3
00:00:30 | INFO | Headers:
00:00:30 | INFO | 	host: 46.229.212.89:7592
