04:33:17 | INFO | 	accept: */*
04:33:17 | INFO | 	accept-encoding: gzip, deflate
04:33:17 | INFO | 	connection: keep-alive
04:33:17 | INFO | 	user-agent: python-httpx/0.23.1
04:33:17 | INFO | 	content-length: 46
04:33:17 | INFO | Response Body: {"name":"48bbb7a79abb28c0b9dd6939dd8c86bdc0e89aa29bc2e2e6"}
04:33:34 | INFO | GET http://46.229.212.89:7592/get_suggestion?tg_id=2078290057
04:33:34 | INFO | Request Body: tg_id=2078290057
04:33:34 | INFO | Headers:
04:33:34 | INFO | 	host: 46.229.212.89:7592
04:33:34 | INFO | 	accept: */*
04:33:34 | INFO | 	accept-encoding: gzip, deflate
04:33:34 | INFO | 	connection: keep-alive
04:33:34 | INFO | 	user-agent: python-httpx/0.23.1
04:33:34 | INFO | Response Body: {"sug":{"images":["https://s3.timeweb.com/cr28942-botstorage/e7710b97daa3f4c7cadb462182d1af5f.jpeg","https://s3.timeweb.com/cr28942-botstorage/2d3e2ebec029c55b3aed952f5388968e.jpeg","https://s3.timeweb.com/cr28942-botstorage/33747728827e48d6fa9269ae9558570a.jpeg"],"advance":false,"create_time":"2022-12-01T18:23:32.133061+00:00","verif":true,"tag":"Просто отдохнуть/Релакс","deleted_time":null,"price":"Будни от 9.500р., пт-сб от 11.000р. Цена домика за сутки на двоих взрослых. Максимальная вместимость 4 человека. Фурако и сауна входят в стоимость. ","active":true,"short_desc":"Просто, красиво, душевно.. \r\nХочешь возьми с собой свою половинку, хочешь небольшую компанию:)","advance_date_end":null,"contact":"https://noboringdate.ru?ref=_CSDceC5kkki4RoqwX4SRA&id=2078290057&session=7155","filter_param":["Девушка/Парень","Супруга/Супруг","Друг/Подруга","Компанию"],"description":"Уютные Афрейм домики - место для душевного отдыха с семьей либо со второй половинкой или небольшой компанией друзей, подруг. В доме есть : ▪️миникухня с плитой и холодильником, посудой для готовки и сервировки. ▪️в ванной комнате душ, туалет. ▪️постельное белье, полотенца, халаты, одноразовые гигиенические принадлежности все даём. 🔷На улице мангал гриль 🔷Купель Фурако входит в стоимость 🔷Вай Фай есть . Ждем вас!","last_modified_time":"2023-02-07T07:50:12.792808+00:00","phys":0.0,"real_view_counter":869,"advance_date_start":null,"deleted":false,"author_id":null,"view_counter":2144,"similar_sug":[],"cover":"https://s3.timeweb.com/cr28942-botstorage/d35418f9a23121f9e0684ca5388412f3.jpeg","address":"None","id":49,"author_edit_id":3,"skill":0.0,"intellect":0.0,"title":"Глэмпинг My_ahome.kzn"},"len":16,"index":4}
04:33:37 | INFO | GET http://46.229.212.89:7592/get_photo_id?name=48bbb7a79abb28c0b9dd6939dd8c86bdc0e89aa29bc2e2e6
04:33:37 | INFO | Request Body: name=48bbb7a79abb28c0b9dd6939dd8c86bdc0e89aa29bc2e2e6
04:33:37 | INFO | Headers:
04:33:37 | INFO | 	host: 46.229.212.89:7592
04:33:37 | INFO | 	accept: */*
04:33:37 | INFO | 	accept-encoding: gzip, deflate
04:33:37 | INFO | 	connection: keep-alive
04:33:37 | INFO | 	user-agent: python-httpx/0.23.1
04:33:37 | INFO | Response Body: {"id":[561479,561480,561481,561482]}
04:33:38 | INFO | GET http://46.229.212.89:7592/next_suggestion?tg_id=2078290057
04:33:38 | INFO | Request Body: tg_id=2078290057
04:33:38 | INFO | Headers:
04:33:38 | INFO | 	host: 46.229.212.89:7592
04:33:38 | INFO | 	accept: */*
04:33:38 | INFO | 	accept-encoding: gzip, deflate
04:33:38 | INFO | 	connection: keep-alive
04:33:38 | INFO | 	user-agent: python-httpx/0.23.1
